Nombre,Precio,Valoracion,Tienda,Fecha
"Portátil Acer Nitro V 15 ANV15-52 15.6"" Intel Core i9-13900H 32GB 1TB SSD RTX 5050 Sin Sistema Operativo",1249.0,,PcComponentes,2026-04-17
"Portatil Lenovo V15 G4 AMN 15.6"" AMD Ryzen 5 7520U 8GB 512GB SSD WiFi 6 Negro",467.4,,PcComponentes,2026-04-17
"Portátil HP 255R G10 15,6"" AMD Ryzen 3 7335U 8GB 512GB SSD Radeon 660M Windows 11",484.99,N/A,PcComponentes,2026-04-17
"MSI Katana 17 HX B14WGK-033XES Intel Core i9-14900HX 32GB DDR5 1TB SSD RTX 5070 17.3"" QHD",1749.0,,PcComponentes,2026-04-17
Portátil HP Victus 15-fa2039ns Intel Core 7-240H 16GB 1TB SSD RTX 5060 FHD 144Hz Azul,1339.0,N/A,PcComponentes,2026-04-17
"Portátil HP OmniBook 3 16-bu0034ns 16"" Intel Core 7 150U 16GB 1TB SSD Intel Graphics FreeDOS",999.0,N/A,PcComponentes,2026-04-17
"Portátil ASUS Vivobook 14 X1404VA-EB1769 14"" Intel Core 5 120U 16GB 512GB SSD Gráficos Sin Sistema Operativo",609.74,N/A,PcComponentes,2026-04-17
"Portátil HP 250R G10 15.6"" Intel Core 5 120U 16GB 1TB SSD Intel Graphics FreeDOS",706.41,N/A,PcComponentes,2026-04-17
"Portátil Acer Nitro V 15 ANV15-52 15.6"" Intel Core i9-13900H 32GB 1TB SSD RTX 5060 Sin Sistema Operativo",1349.0,,PcComponentes,2026-04-17
"Portátil HP 255R G10 15,6"" AMD Ryzen 5 7535U 8GB Radeon 660M 512GB SSD Windows 11 Home Full HD",519.01,,PcComponentes,2026-04-17
"Portátil HP 15-fd0329ns 15.6"" Intel N100 8GB 256GB SSD UHD Graphics Windows 11 Home",430.08,,PcComponentes,2026-04-17
"Apple MacBook Air 13"" Apple M5 16GB 512GB SSD GPU 8 núcleos macOS Medianoche",1159.0,,PcComponentes,2026-04-17
"Portátil Lenovo IdeaPad Slim 3 15IRH8 15.6"" Intel Core i5 13420H 16GB 512GB SSD Gris Windows 11",666.71,,PcComponentes,2026-04-17
"HP EliteBook 645 G11 AMD Ryzen 7 PRO 7735U/16GB/512GB SSD/14""",949.0,,PcComponentes,2026-04-17
"MSI Modern 15 H C13M-087XES Intel Core i7-13620H/32GB/1TB SSD/15.6""",899.0,,PcComponentes,2026-04-17
"Portátil MSI Katana 15 HX B14WFK-082XES 15.6"" Intel Core i9-14900HX 32GB 1TB SSD RTX 5060",1499.0,,PcComponentes,2026-04-17
"HP OMEN Gaming Laptop 16-ap0006ns 16"" AMD Ryzen AI 9 365 32GB 1TB SSD RTX 5070 Gaming",1629.0,,PcComponentes,2026-04-17
"Apple MacBook Neo 13"" Apple A18 Pro 8GB 512GB SSD GPU 5 núcleos macOS Touch ID Rosa Nube",799.0,,PcComponentes,2026-04-17
"Portátil Asus Vivobook 15 F1504VA-BQ332 15,6"" Intel Core 7 150U 16GB 1TB SSD Intel Graphics Sin Sistema Operativo",629.0,"4,7/5",PcComponentes,2026-04-17
